Code;Omschrijving
000;Internet
0000;GWE
00000;Algemeen
0001;Nunspeetlaan 14 Den Haag
0002;Allard Piersonlaan 142 Den Haag
0003;Acacia 2 Hellevoetsluis
0004;Broekweg 25 Vlaardingen
0005;Ringbaan Oost 327 Tilburg
0006;Enschotsestraat 163 Tilburg
0007;Adriaan Baasstraat 34 Hoogeveen
0008;Arkelse onderweg 24a Gorichem
0009;Galgeweg 48-A, s-Gravenzande
0010;Kethelweg 1B Vlaardingen
0011;Kethelweg 1C, Vlaardingen
0012;Baarlelaan 27 Hoogeveen
0013;Baarsveen 197 Spijkenisse
0014;Abelenlaan 143 Rozenburg
0015;Maasdijk 69, S-Gravenzande
0016;van Scorelstraat 73 Maasluis
0017;G.A. Brederolaan 75B Maassluis
0018;Meester G. Groen van Prinsterlaan 313 Amstelveen
0019;Franselaan 273B Rotterdam
0020;Mr. Troelstrastraat 37 Vlaardingen
0021;Vaartweg 106C Vlaardingen
0022;2e van Leydengaelstraat 6, Vlaardingen
0023;Desiree Geeraerstraat 1b  Baarle-Nassau
0024;Desiree Geeraertstraat 1 C, Baarle-Nassau
0025;Groenelaan 30B Schiedam
0026;Chopinstraat 39C Vlaardingen
0027;Buizerdstraat 210 Maassluis
0028;Lange kruisweg 12 Maasdijk
0029;Maeliefstraat 46C Rotterdam
0030;Curacaolaan 88, Vlaardingen
0031;Hogenbanweg 331 Schiedam
0032;Jacob van Offwegenlaan 26 Rijswijk
0033;Kethelweg 66C Vlaardingen
0034;Kethelweg 68A Vlaardingen
0035;Messchaertplein 39 Vlaardingen
0036;Messchaertplein 40 Vlaardingen
0037;Westfrankelandsestraat 106 Schiedam
0038;Westfrankelandsestraat 108 Schiedam
0039;Inundatiestraat 3 Sas van Gent
0040;Beatrixstraat 3 Rozenburg
0041;Nunspeetlaan 53 Den Haag
0042;Parallelweg 110A Vlaardingen
0043;Amperelaan 23 Oudeschoot
0044;Pleinweg 101A Rotterdam
0045;Pleinweg 101 B, Rotterdam
0046;Nieuwenhoornstraat 46b Rotterdam
0047;Bisschopstraat 68 Vollehove
0048;Bliek 41 Hellevoetsluis
0049;Bornerbroekstraat 129A Almelo
0050;Sint Josephstraat 61 Tilburg
0051;Coehoorn van Scheltingaweg 12, Heerenveen
0052;Coehoorn van Scheltingaweg 66 Heereveen
0053;Curcumastraat 39 , Hoogvliet
0054;De Gasperistraat 11 Goes
0055;Baanhoek 19 Sliedrecht
0056;De Hooidollen 606, Leeuwarden
0057;Markt 5, Maassluis
0058;Deugenweerd 18 Borculo
0059;Dieptol 63  Steenwijk
0060;Besterdring 6 Tilburg
0061;Dwarsweg 44 , Rozenburg
0062;Eendrachtstraat 22 Middelharnis
0063;Energieweg 40 Vlaardingen
0064;Enk 6 Borne
0065;Esdoornlaan 68 , Rozenburg
0066;Dorpsstraat 73 Moordrecht
0067;Franz Liszstraat 5, Terneuzen
0068;Frans Erensstraat 21 Sittard
0069;Gaffelaar 3 Franeker
0070;Geleenstraat 1 Sittard
0071;H. Algraplein 25 Franeker
0072;Heemskerkstraat 19 Lutjegast
0073;H Deddenstraat 26 Steggerda
0074;Monseigneur W.M. Bekkerslaan 34, Maassluis
