Adres;Object_ID;Source_Adres;Status
1e Middellandstraat 104A;0388;1e Middellandstraat 104A;OK
2e Maasbosstraat 2 a;0148;2e Maasbosstraat 2 a;OK
2e Maasbosstraat 2 b;0149;2e Maasbosstraat 2 b;OK
2e Maasbosstraat 2 c;0150;2e Maasbosstraat 2 c;OK
2e van Leydengaelstraat 6;0022;2e van Leydengaelstraat 6;OK
Acacia 2;0003;Acacia 2;OK
Achterdijk 47a;0190;Achterdijk 47A;OK
Adriaan Baasstraat 34;0007;Adriaan Baasstraat 34;OK
Akkerweg 41 [huis 10];0341;Akkerweg 41 [010];OK
Akkerweg 41 [huis 11];0372;Akkerweg 41 [011];OK
Akkerweg 41 [huis 14];0293;Akkerweg 41 [014];OK
Akkerweg 41 [huis 15];0294;Akkerweg 41 [015];OK
Akkerweg 41 [huis 17];0373;Akkerweg 41 [017];OK
Akkerweg 41 [huis 20];0383;Akkerweg 41 [020];OK
Akkerweg 41 [huis 26];0297;Akkerweg 41 [026];OK
Akkerweg 41 [huis 35];0350;Akkerweg 41 [035];OK
Akkerweg 41 [huis 36];0356;Akkerweg 41 [036];OK
Akkerweg 41 [huis 37];0299;Akkerweg 41 [037];OK
Akkerweg 41 [huis 40];0300;Akkerweg 41 [040];OK
Akkerweg 41 [huis 41];0301;Akkerweg 41 [041];OK
Akkerweg 41 [huis 42];0302;Akkerweg 41 [042];OK
Akkerweg 41 [huis 55];0303;Akkerweg 41 [055];OK
Akkerweg 41 [huis 56];0304;Akkerweg 41 [056];OK
Akkerweg 41 [huis 57];0305;Akkerweg 41 [057];OK
Akkerweg 41 [huis 58];0384;Akkerweg 41 [058];OK
Akkerweg 41 [huis 74];0379;Akkerweg 41 [074];OK
Akkerweg 41 [huis 75];0307;Akkerweg 41 [075];OK
Allard Piersonlaan 142;0002;Allard Piersonlaan 142;OK
Amperelaan 23;0043;Amperelaan 23;OK
Amperestraat 36A;0135;Ampèrestraat 36A;OK
Archimedesstraat 6B;0353;Archimedesstraat 6 B;OK
Baanhoek 139;0055;Baanhoek 139;OK
Baarlelaan 27;0012;Baarlelaan 27;OK
Baarsveen 197;0013;Baarsveen 197;OK
Beatrixstraat 3;0040;Beatrixstraat 3;OK
Beeklaan 294;0152;Beeklaan 294;OK
Bettingeslag 10;0322;Bettingeslag 10;OK
Beukenlaan 53;0346;Beukenlaan 53;OK
Bisschopstraat 68;0047;Bisschopstraat 68;OK
Bliek 41;0048;Bliek 41;OK
Boogertstraat 5A;0397;Boogertstraat 5A;OK
