New_Code;Address;Note
0492;Maasdijk 67 's-Gravenzande;Add to Exact
0493;Ranaholm 3 Schiedam;Add to Exact
0494;Hoge Noordweg 26A Naaldwijk;Add to Exact
0495;Broersveld 150B Schiedam;Add to Exact
0496;Hontenissestraat 124A Rotterdam;Add to Exact
0497;Europalaan 50 Sas van Gent;Add to Exact
0498;Oosthavenkade 39 ;Add to Exact
0499;Hoge Noordweg 27A Naaldwijk;Add to Exact
0500;Professor Kamerlingh Onneslaan 98A Schiedam;Add to Exact
0501;Lauwersmeer 4 Barendrecht;Add to Exact
0502;Noordstraat 26 Walsoorden;Add to Exact
0503;Dorpstraat 46 Aarlanderveen;Add to Exact
0504;Homeflex Park Honselersdijk;Add to Exact
0505;Hontenissestraat 162 Rotterdam;Add to Exact
0506;Groenelaan 35 Schiedam;Add to Exact
0507;Platostraat 38 Rotterdam;Add to Exact
0508;Rotterdamsedijk 104a2 Vlaardingen;Add to Exact
0509;Jacob van Ruijsdaelstraat 28 Roosendaal;Add to Exact
0510;Deensestraat 91A Rotterdam;Add to Exact
0511;Burg. Knappertlaan 176A Schiedam;Add to Exact
0512;Westfrankelandsestraat 106 Schiedam;Add to Exact
0513;Kethelweg 60 Vlaardingen;Add to Exact
0514;Knuttelstraat 17 Delft;Add to Exact
0515;Broekweg 166B Rotterdam;Add to Exact
0516;Schalkeroord 16 Rotterdam;Add to Exact
0517;Oudcamp 14 Maasland;Add to Exact
0518;Sint Jorispad 4 Naaldwijk;Add to Exact
0519;Middenscheepvaartstraat 30 Hoek van Holland;Add to Exact
0520;Schiedamseweg 260c ;Add to Exact
0521;Van Hogendorplaan 1641 Vlaardingen;Add to Exact
0522;Messchaertplein 36 Bovenwoning Vlaardingen;Add to Exact
0523;Krabbendijkestraat 429 Rotterdam;Add to Exact
0524;Zegwaardseweg 54 Zoetermeer;Add to Exact
0525;Pastoriedijk 325 Pernis;Add to Exact
0526;Haven 24 Maassluis;Add to Exact
0527;Boogertstraat 5A Maassluis;Add to Exact
0528;Boogertstraat 7A Maassluis;Add to Exact
0529;1e Verdeligsweg 6 - 537 Putte;Add to Exact
0530;1e Verdeligsweg 6 - 821 Putte;Add to Exact
0531;1e Verdeligsweg 6 - 822 Putte;Add to Exact
0532;Broersvest 74c Schiedam;Add to Exact
0533;de Lus 16 ap28 Schagen;Add to Exact
0534;Dorpstraat 27 Moordrecht;Add to Exact
0535;Franselaan 273-B ;Add to Exact
