OBJECT;Straat en huisnummer;Postcode;Plaats
0001;Nunspeetlaan 14;2573 HG;Den Haag
0002;Allard Piersonlaan 142;2522 MT;Den Haag
0003;Acacia 2;3224EB;Hellevoetsluis
0004;Broekweg 25;3131 HC;Vlaardingen
0005;Ringbaan Oost 327;5014 GG;Tilburg
0006;Enschotsestraat 163;5014 DD;Tilburg
0007;Adriaan Baasstraat 34;7902HN;Hoogeveen
0008;Arkelse Onderweg 24a;4206AH;Gorinchem
0009;Galgeweg 48-A;2691MG;s-Gravenzande
0010;Kethelweg 1B;3135 GA;Vlaardingen
0011;Kethelweg 1C;3135 GA;Vlaardingen
0012;Baarlelaan 27;7906GB;Hoogeveen
0013;Baarsveen 197;3205 BB;Spijkenisse
0014;Abelenlaan 143;3181WD;Rozenburg
0015;Maasdijk 69;2691NZ;S-Gravenzande
0016;van Scorelstraat 73;3141 TH;Maassluis
0017;G.A. Brederolaan 75B;3141 CD;Maassluis
0018;Meester G. Groen van Prinsterlaan 313;1181 TV;Amstelveen
0019;Franselaan 273B;3028 AC;Rotterdam
0020;Mr. Troelstrastraat 37;3131 HR;Vlaardingen
0021;Vaartweg 106C;3131 HV;Vlaardingen
0022;2e van Leydengaelstraat 6;3134 LL;Vlaardingen
0023;Desiree Geeraertstraat 1 B;5111 CH;Baarle-Nassau
0024;Desiree Geeraertstraat 1 C;5111 CH;Baarle-Nassau
0025;Groenelaan 30B;3114 CH;Schiedam
0026;Chopinstraat 39C;3131 DB;Vlaardingen
0027;Buizerdstraat 210;3145 AD;Maassluis
0028;Lange kruisweg 12;2676 BL;Maasdijk
0029;Madeliefstraat 46c;3083TJ;Rotterdam
0030;Curacaolaan 88;3131 XD;Vlaardingen
0031;Hogenbanweg 331;3112 CK;Schiedam
0032;Jacob van offwegenlaan 26;2282 HR;Rijswijk
0033;Kethelweg 66C;3135 GM;Vlaardingen
0034;Kethelweg 68A;3135 GM;Vlaardingen
0035;Messchaertplein 39;3131 TG;Vlaardingen
0036;Messchaertplein 40;3131 TG;Vlaardingen
0037;Westfrankelandsestraat 106;3117 AW;Schiedam
0038;Westfrankelandsestraat 108;3117 AW;Schiedam
0039;Inundatiestraat 3;4551 VE;Sas van Gent
0040;Beatrixstraat 3;3181 GA;Rozenburg
0041;Nunspeetlaan 53;2573 HB;Den Haag
0042;Parallelweg 110A;3131 DK;Vlaardingen
0043;Amperelaan 23;8451 BW;Oudeschoot
0044;Pleinweg 101 A;3081 JH;Rotterdam
0045;Pleinweg 101 B;3081 JH;Rotterdam
0046;Nieuwenhoornstraat 46B;3082 VJ;Rotterdam
0047;Bisschopstraat 68;8325BD;Vollenhove
0048;Bliek 41;3225XB;Hellevoetsluis
0049;Bornerbroeksestraat 129A;7601BE;Almelo
0050;Sint Josephstraat 61;5017GD;Tilburg
0051;Coehoorn van Scheltingaweg 12;8442EX;Heerenveen
