object_id;adres;postcode;plaats;capaciteit_personen;aantal_slaapkamers;huurder_naam;huurder_id;verhuur_startdatum;verhuur_einddatum;verhuur_excl_btw;gwe_verantwoordelijk;voorschot_gwe_standaard;verhuur_voorschot_gwe;verhuur_overige_kosten;eigenaar_id;eigenaar_naam;inhuur_excl_btw;inhuur_borg;inhuur_startdatum;inhuur_einddatum;inhuur_vve_kosten;inhuur_overige_kosten;inhuur_internet_kosten;inhuur_voorschot_gwe
0140;Wilgenstraat 37;5038PB;Tilburg;5;5;AKT Autoschade;237;2024-06-01;;4255,8;ryanrent;300,0;300,0;0,0;366;C. van Winsen;3500,0;0,0;2023-04-01;2025-03-31;0,0;0,0;0,0;0,0
0118;Marathonlaan 26;2807BB;Gouda;5;5;Bw-engineering;342;2025-07-01;2026-06-30;3600,0;ryanrent;300,0;300,0;0,0;783;Johan ven der Burg;2500,0;0,0;2024-04-01;2026-03-31;0,0;0,0;0,0;0,0
0071;H. Algraplein 25;8802RE;Franeker;7;4;DIT en Larex Vakpersoneel B.V.;210;2025-08-16;2026-06-15;2825,0;ryanrent;250,0;250,0;0,0;241;BJ Bakker;2150,0;0,0;;;0,0;0,0;0,0;0,0
0212;Wijngaard 66;8212 CD;Lelystad;4;4;DIT en Larex Vakpersoneel B.V.;210;2026-01-16;2026-11-15;3025,0;ryanrent;250,0;250,0;0,0;823;City Estate (Reinier Derksen);2416,16;0,0;;;0,0;0,0;0,0;0,0
0339;Kerkweg 9a [huis 357];1711RR;Hensbroek;3;3;Eastmen;86;2025-10-30;2026-04-29;3200,0;ryanrent;200,0;200,0;0,0;849;Chalet Park Holiday;2854,81;0,0;2025-03-07;2027-03-07;0,0;0,0;0,0;0,0
0085;Kierkegaardhof 54;1277 AL;Huizen;3;3;Estra Logistics Systems B.V.;320;2025-11-14;2026-06-30;2600,0;ryanrent;200,0;200,0;0,0;815;E. Rebel;1418,02;0,0;2022-07-01;2024-06-20;0,0;0,0;0,0;0,0
0144;Scheepjesbrug 433;4231ZZ;Meerkerk;6;6;Estra Logistics Systems B.V.;320;2025-03-22;2026-03-22;4200,0;ryanrent;400,0;400,0;0,0;135;B. Bosch;3000,0;0,0;2024-01-06;;0,0;0,0;0,0;0,0
0307;Akkerweg 41 [huis 75];1779GJ;Den Oever;3;4;FISSH B.V.;347;2025-11-01;;2900,0;ryanrent;300,0;300,0;0,0;726;Cris;2421,88;0,0;2025-11-01;;0,0;0,0;0,0;0,0
0260;Persoonsdam 176;3071EE;Rotterdam;2;2;Flexvesting B.V.;172;2025-04-01;2026-04-01;1603,32;ryanrent;100,0;100,0;0,0;830;Transformatiehaven BV;1526,43;0,0;;;0,0;0,0;0,0;0,0
0261;Persoonsdam 177;3071EE;Rotterdam;2;2;Flexvesting B.V.;172;2025-04-01;2026-04-01;1603,32;ryanrent;100,0;100,0;0,0;830;Transformatiehaven BV;1526,43;0,0;;;0,0;0,0;0,0;0,0
0262;Persoonsdam 178;3071EE;Rotterdam;2;2;Flexvesting B.V.;172;2025-04-01;2026-04-01;1603,32;ryanrent;100,0;100,0;0,0;830;Transformatiehaven BV;1526,43;0,0;;;0,0;0,0;0,0;0,0
0263;Persoonsdam 179;3071EE;Rotterdam;3;3;Flexvesting B.V.;172;2025-04-01;2026-04-01;2405,0;ryanrent;150,0;150,0;0,0;830;Transformatiehaven BV;1917,31;0,0;2023-11-01;2024-10-31;0,0;0,0;0,0;0,0
0264;Persoonsdam 180;3071EE;Rotterdam;3;3;Flexvesting B.V.;172;2025-04-01;2026-04-01;2405,0;ryanrent;150,0;150,0;0,0;830;Transformatiehaven BV;1917,31;0,0;2023-11-01;2024-10-31;0,0;0,0;0,0;0,0
0265;Persoonsdam 181;3071EE;Rotterdam;3;3;Flexvesting B.V.;172;2025-04-01;2026-04-01;2405,0;ryanrent;150,0;150,0;0,0;830;Transformatiehaven BV;1917,31;0,0;2023-11-01;2024-10-31;0,0;0,0;0,0;0,0
0266;Persoonsdam 182;3071EE;Rotterdam;3;3;Flexvesting B.V.;172;2025-04-01;2026-04-01;2405,0;ryanrent;150,0;150,0;0,0;830;Transformatiehaven BV;1917,31;0,0;2023-11-01;2024-10-31;0,0;0,0;0,0;0,0
0267;Persoonsdam 194;3071EE;Rotterdam;2;2;Flexvesting B.V.;172;2025-04-01;2026-04-01;1603,32;ryanrent;100,0;100,0;0,0;830;Transformatiehaven BV;1526,43;0,0;;;0,0;0,0;0,0;0,0
