object_id;adres;postcode;plaats;capaciteit_personen;aantal_slaapkamers;huurder_naam;huurder_id;start_date;end_date;huur_excl_btw;voorschot_gwe_excl_btw;overige_kosten;gwe_verantwoordelijk
0005;Ringbaan Oost 327;5014 GG;Tilburg;8;8;AKT Autoschade;237;2024-08-01;2025-07-31;6210,93;500,0;0,0;ryanrent
0140;Wilgenstraat 37;5038PB;Tilburg;5;5;AKT Autoschade;237;2024-06-01;;4255,8;300,0;0,0;ryanrent
0048;Bliek 41;3225XB;Hellevoetsluis;5;5;AmDor Projecten B.V.;124;2024-01-01;2024-12-31;4650,75;400,0;0,0;ryanrent
0065;Esdoornlaan 68 ;3181XD;Rozenburg;6;4;AmDor Projecten B.V.;124;2023-04-03;2024-04-02;3539,85;300,0;0,0;ryanrent
0100;Molenweg 135;3181AW;Rozenburg;5;3;AmDor Projecten B.V.;124;2024-07-06;2025-07-05;3232,13;300,0;0,0;ryanrent
0102;Narcissenstraat 9;3181WT;Rozenburg;3;2;AmDor Projecten B.V.;124;2022-01-01;2022-12-31;2038,9;300,0;0,0;ryanrent
0104;Narcissenstraat 37;3181WT;Rozenburg;3;3;AmDor Projecten B.V.;124;2022-01-01;2022-12-31;2653,88;375,0;0,0;ryanrent
0127;Struitenweg 19b;3082WP;Rotterdam;5;3;AmDor Projecten B.V.;124;2021-12-18;2022-12-17;2891,83;375,0;0,0;ryanrent
0098;Melis Stokezijde 94;2543GG;Den Haag;4;4;Autodaxx B.V.;140;2022-02-18;2022-08-17;3947,6;200,0;0,0;ryanrent
0013;Baarsveen 197;3205 BB;Spijkenisse;5;5;BBTS (Vastgoed Spijkenisse);190;2023-11-01;2024-04-30;5084,1;325,0;0,0;ryanrent
0158;Visartstraat 31;4541BA;Sluiskil ;4;4;BBTS (Vastgoed Spijkenisse);190;2024-01-30;2024-07-29;2649,11;200,0;0,0;ryanrent
0167;Vogelschorstraat 24;4541AZ;Sluiskil;4;4;BBTS (Vastgoed Spijkenisse);190;2024-01-30;2024-07-29;2649,11;200,0;0,0;ryanrent
0254;Middenbaan Noord 20A;3191EH;Hoogvliet;3;3;BBTS (Vastgoed Spijkenisse);190;2024-06-08;2025-06-07;3159,6;250,0;0,0;ryanrent
0255;Middenbaan Noord 20B;3191EH;Hoogvliet;3;3;BBTS (Vastgoed Spijkenisse);190;2024-06-08;2025-06-07;3159,6;250,0;0,0;ryanrent
0256;Middenbaan Noord 20C;3191EH;Hoogvliet;3;3;BBTS (Vastgoed Spijkenisse);190;2024-06-08;2025-06-07;3159,6;250,0;0,0;ryanrent
0258;Middenbaan Noord 22B;3191EH;Hoogvliet;3;3;BBTS (Vastgoed Spijkenisse);190;2023-05-13;2023-11-12;2748,54;250,0;0,0;ryanrent
0259;Middenbaan Noord 22C ;3191EH;Hoogvliet;3;3;BBTS (Vastgoed Spijkenisse);190;2023-05-13;2023-11-12;2748,54;250,0;0,0;ryanrent
0328;Noordmolenstraat 36A;3111PD;Schiedam;2;2;BBTS (Vastgoed Spijkenisse);190;2025-01-18;2025-07-18;1950,0;200,0;0,0;ryanrent
0329;Noordmolenstraat 36B;3111PD;Schiedam;2;2;BBTS (Vastgoed Spijkenisse);190;2025-01-18;2025-07-18;1950,0;200,0;0,0;ryanrent
0330;Noordmolenstraat 36C;3111PD;Schiedam;2;2;BBTS (Vastgoed Spijkenisse);190;2025-01-18;2025-07-18;1950,0;200,0;0,0;ryanrent
0293;Akkerweg 41 [huis 14];1779GJ;Den Oever;6;3;Buurman Vastgoed E B.V.;346;2025-09-13;2025-12-31;3885,0;400,0;0,0;ryanrent
