klant_naam,klant_email,huizen,totaal_incl_btw
"Tradiro Services B.V.",facturen@tradiro.nl,141,341931.27
"Van Bergen Personeelsdiensten B.V.",facturen@aubvanbergen.nl,22,94371.4
"S. Bakker OPH Verhuur",,5,13463.2
"Impes Service S.p.A.","fatture.olanda@impesservice.it, Nicola.pisani@impesservice.it",3,10602.45
"Light Personeelsdiensten",,2,7096.5
"Labour Housing BV",crediteuren@ottoworkforce.eu,2,6327.5
"AKT Autoschade",facturen@aktautoschade.com,1,5001.82
"OJP B.V.",rita.guimaraes@ojp.pt,1,4979.12
Stay21,,1,4429.25
"H.T.C. Facility Services B.V.",inkoop@htcfacilityservices.nl,1,4347.5
"Estra Logistics Systems B.V.",finance@cruisr.nl,1,3681.5
"I–Housing Vastgoed Beheer B.V.",administratie@i-housingvastgoedbeheer.nl,1,3627.0
"HousingWell B.V.",info@housingwell.nl,1,3604.62
"DIT en Larex Vakpersoneel B.V.",factuur@ditenlarexvakpersoneel.nl,1,3599.75
"FISSH B.V.",administratie@fissh.nl,1,3524.0
"United Homes B.V.",administratie@unitedhomes.eu,1,2686.27
"Team Home Rentals B.V.",administratie@teamhomerentals.nl,1,2640.0
"MNA Proud Facilities B.V.",Recep@prokonak.nl,1,2591.5
"Lago Personeelshuisvesting B.V.",facturen@lagopersoneelshuisvesting.nl,1,2456.61
